0,1,2,3,4,5,6,7,8,9,10,11,12
"[10.0, 'O', 0.06190383999999938, 0.7169385100000021, 0.7048736399999989]","[11.0, 'H', -0.7832143600000023, 0.6630267399999994, 1.222674229999999]","[17.0, 'H', 0.6102061299999981, 2.068642660000002, -0.24021192000000013]","[76.0, 'O', -0.032518950000000046, -1.062753139999998, -1.352839379999999]","[77.0, 'H', -0.35249181000000007, -1.9640877000000003, -1.0705476000000012]","[78.0, 'H', -0.7861481500000025, -0.7343431699999989, -1.9149017499999985]","[149.0, 'H', 1.7497599699999995, -0.6087547200000003, -1.7272259999999982]","[155.0, 'H', 1.3729801099999968, 0.4545235699999992, 1.7574722999999999]",,,,,
"[7.0, 'O', -2.1679001000000007, 1.6806404599999993, 0.5675116799999991]","[9.0, 'H', -1.397349890000001, 1.2224376800000023, 0.1512102199999994]","[14.0, 'H', 0.0021637899999973342, -0.8861125299999983, 0.4240341000000001]","[15.0, 'H', 0.7533730199999944, 0.033164630000001694, -0.6470203500000018]","[175.0, 'O', 2.263144269999998, 0.37179206000000065, -1.599103460000002]",,,,,,,,
"[9.0, 'H', -1.3995136799999983, 2.1085502100000006, -0.2728238800000007]","[13.0, 'O', -0.0021637899999973342, 0.8861125299999983, -0.4240341000000001]","[15.0, 'H', 0.7512092299999971, 0.91927716, -1.0710544500000019]","[106.0, 'O', 0.4675408100000027, -2.307432910000003, -1.7416183099999998]","[108.0, 'H', 0.07597787000000267, -2.454565650000003, -0.8667397500000007]",,,,,,,,
"[9.0, 'H', -2.1507229099999954, 1.1892730500000006, 0.7982305700000012]","[13.0, 'O', -0.7533730199999944, -0.033164630000001694, 0.6470203500000018]","[14.0, 'H', -0.7512092299999971, -0.91927716, 1.0710544500000019]","[159.0, 'H', -0.8845669799999953, -2.155602730000002, -1.852273099999998]","[175.0, 'O', 1.5097712500000036, 0.33862742999999895, -0.9520831100000002]","[176.0, 'H', 1.873064570000004, 1.078528649999999, -0.38436573999999624]","[177.0, 'H', 1.6185644600000053, 0.7169852500000005, -1.8528881799999972]",,,,,,
"[10.0, 'O', -1.1332437599999992, -2.0702838099999994, 1.3078501599999974]","[17.0, 'H', -0.5849414700000004, -0.7185796599999996, 0.36276459999999844]","[18.0, 'H', -0.28096195999999907, 0.2398034399999993, -0.9192731100000024]","[181.0, 'O', 2.6309761199999997, -0.7447991599999995, 0.5617321299999993]","[182.0, 'H', 2.5481947, -0.42444161999999963, 1.5025458699999987]","[183.0, 'H', 1.7242992699999995, -0.6149401400000016, 0.1824161800000006]",,,,,,,
"[10.0, 'O', -0.5483022899999987, -1.3517041499999998, 0.945085559999999]","[11.0, 'H', -1.3934204900000005, -1.4056159200000025, 1.4628861499999992]","[12.0, 'H', -0.6102061299999981, -2.068642660000002, 0.24021192000000013]","[16.0, 'O', 0.5849414700000004, 0.7185796599999996, -0.36276459999999844]","[18.0, 'H', 0.30397951000000134, 0.9583830999999989, -1.2820377100000009]","[155.0, 'H', 0.7627739799999986, -1.6141190900000026, 1.99768422]","[183.0, 'H', 2.30924074, 0.10363951999999799, -0.18034841999999784]",,,,,,
"[16.0, 'O', 0.28096195999999907, -0.2398034399999993, 0.9192731100000024]","[17.0, 'H', -0.30397951000000134, -0.9583830999999989, 1.2820377100000009]","[48.0, 'H', 1.1826585200000004, -0.6698794499999998, -1.9651260899999983]","[183.0, 'H', 2.0052612299999986, -0.854743580000001, 1.101689290000003]",,,,,,,,,
"[20.0, 'H', -0.8940400299999993, 0.4412570599999981, 0.025115959999997273]","[21.0, 'H', 0.21509607999999858, -0.24209984000000162, 0.94902497]","[40.0, 'O', 0.8486721400000015, -0.7637874499999988, 2.3627711299999987]","[52.0, 'O', -2.43444959, 1.3078895300000006, 0.092312849999999]",,,,,,,,,
"[19.0, 'O', 0.8940400299999993, -0.4412570599999981, -0.025115959999997273]","[21.0, 'H', 1.109136109999998, -0.6833568999999997, 0.9239090100000027]","[52.0, 'O', -1.5404095600000005, 0.8666324700000025, 0.06719689000000173]","[53.0, 'H', -1.7287994600000012, 1.2070068700000007, 0.9809440700000032]","[54.0, 'H', -2.1003285500000004, 0.05118476000000172, -0.0027135299999976326]",,,,,,,,
"[19.0, 'O', -0.21509607999999858, 0.24209984000000162, -0.94902497]","[20.0, 'H', -1.109136109999998, 0.6833568999999997, -0.9239090100000027]","[30.0, 'H', 2.3781536699999997, -0.4256296699999993, 1.3700844100000005]","[40.0, 'O', 0.6335760600000029, -0.5216876099999972, 1.4137461599999988]","[41.0, 'H', 0.4373811200000013, -1.4870647099999985, 1.4931836499999989]","[42.0, 'H', 0.35462577000000195, -0.05724646999999905, 2.2569142899999974]",,,,,,,
