0,1,2,3,4,5,6,7,8,9,10,11,12
"[56.0, 'H', -0.3756019500000001, -0.3828529500000002, 0.8308955599999983]","[57.0, 'H', -0.7202241399999991, -0.07382306999999955, -0.6797608900000007]","[121.0, 'O', 2.6271404400000016, 0.1902380000000008, -0.6545772700000008]","[123.0, 'H', 1.6778590599999994, -0.020112309999998246, -0.4198390200000013]","[189.0, 'H', 0.7344652300000014, 1.6414714100000012, -1.5473867700000028]",,,,,,,,
"[55.0, 'O', 0.3756019500000001, 0.3828529500000002, -0.8308955599999983]","[57.0, 'H', -0.34462218999999905, 0.30902988000000065, -1.510656449999999]","[123.0, 'H', 2.0534610099999995, 0.36274064000000195, -1.2507345799999996]","[144.0, 'H', 1.0326696099999992, -1.0822027399999996, 2.0223784699999996]",,,,,,,,,
"[55.0, 'O', 0.7202241399999991, 0.07382306999999955, 0.6797608900000007]","[56.0, 'H', 0.34462218999999905, -0.30902988000000065, 1.510656449999999]","[123.0, 'H', 2.3980831999999985, 0.0537107600000013, 0.25992186999999944]","[189.0, 'H', 1.4546893700000005, 1.7152944800000007, -0.8676258800000021]",,,,,,,,,
"[59.0, 'H', -0.5422549100000005, -0.07570877999999936, 0.8102134800000016]","[60.0, 'H', -0.4061425000000014, 0.7801663699999999, -0.4812574999999981]","[70.0, 'O', 2.265048320000002, -0.9517150799999996, 1.0377171100000027]","[71.0, 'H', 1.5696299300000014, -0.4449332099999985, 0.54576986]","[121.0, 'O', -0.554596329999999, -1.7894031199999993, -2.1537039999999976]","[122.0, 'H', -0.23248106000000135, -1.3128532299999982, -1.3502414999999992]","[158.0, 'H', 0.8444386699999988, -1.7448769599999991, 2.2119419700000016]","[163.0, 'O', -1.3950332299999992, 1.97706157, -1.3031161499999975]",,,,,
"[58.0, 'O', 0.5422549100000005, 0.07570877999999936, -0.8102134800000016]","[60.0, 'H', 0.13611240999999907, 0.8558751499999993, -1.2914709799999997]","[70.0, 'O', 2.8073032300000023, -0.8760063000000002, 0.22750363000000107]","[71.0, 'H', 2.111884840000002, -0.36922442999999916, -0.26444362000000154]","[77.0, 'H', 0.1379362800000017, 1.8048928199999992, 2.0222960999999984]","[109.0, 'O', -0.7590999299999979, 0.3551207199999986, 2.3888293099999984]","[110.0, 'H', -0.41020165999999847, -0.5670937500000015, 2.3062901999999994]","[122.0, 'H', 0.30977384999999913, -1.2371444499999988, -2.160454980000001]","[157.0, 'O', 0.5615790800000013, -2.001646909999998, 1.8325840599999985]","[158.0, 'H', 1.3866935799999993, -1.6691681799999998, 1.40172849]",,,
"[33.0, 'H', 0.6053137700000022, -0.9026403300000005, -2.7596214900000007]","[58.0, 'O', 0.4061425000000014, -0.7801663699999999, 0.4812574999999981]","[59.0, 'H', -0.13611240999999907, -0.8558751499999993, 1.2914709799999997]","[71.0, 'H', 1.9757724300000028, -1.2250995799999984, 1.0270273599999982]","[122.0, 'H', 0.17366144000000006, -2.093019599999998, -0.8689840000000011]","[163.0, 'O', -0.9888907299999978, 1.1968952000000002, -0.8218586499999994]","[164.0, 'H', -1.5137024799999992, 0.75040087, -1.5438520500000017]","[165.0, 'H', -1.6321322999999985, 1.5087432000000014, -0.1439370000000011]",,,,,
"[40.0, 'O', 0.5663791000000025, -1.3178382399999968, -2.3428985599999983]","[42.0, 'H', 0.28742881000000153, -0.8533970999999987, -1.4997304299999996]","[62.0, 'H', -0.2736232199999975, 0.9438091100000072, 0.17175117000000029]","[63.0, 'H', 0.8706108100000023, -0.041964419999999336, 0.49842569000000125]","[67.0, 'O', -2.0565609999999985, -1.6888863899999969, 0.7425106600000007]","[68.0, 'H', -1.3837704599999974, -0.9772523599999978, 0.53452944]","[70.0, 'O', -0.7554567999999975, 2.4414817500000012, 1.0308045500000027]","[115.0, 'O', 2.3496303600000026, 0.10032873000000109, 1.4142983900000026]",,,,,
"[42.0, 'H', 0.561052029999999, -1.797206210000006, -1.6714816]","[61.0, 'O', 0.2736232199999975, -0.9438091100000072, -0.17175117000000029]","[63.0, 'H', 1.1442340299999998, -0.9857735300000066, 0.32667452000000097]","[68.0, 'H', -1.1101472399999999, -1.921061470000005, 0.36277826999999974]","[70.0, 'O', -0.48183358, 1.497672639999994, 0.8590533800000024]","[71.0, 'H', -1.1772519700000004, 2.004454509999995, 0.3671061299999998]","[72.0, 'H', 0.18493683999999888, 2.179817639999996, 1.1412515700000014]","[158.0, 'H', -1.902443230000003, 0.7045107599999945, 2.0332782400000013]",,,,,
"[42.0, 'H', -0.5831820000000008, -0.8114326799999994, -1.9981561200000009]","[61.0, 'O', -0.8706108100000023, 0.041964419999999336, -0.49842569000000125]","[62.0, 'H', -1.1442340299999998, 0.9857735300000066, -0.32667452000000097]","[68.0, 'H', -2.2543812699999997, -0.9352879399999985, 0.03610374999999877]","[115.0, 'O', 1.4790195500000003, 0.14229315000000042, 0.9158727000000013]","[116.0, 'H', 1.6033549399999991, -0.7781216499999992, 1.2891870000000019]","[117.0, 'H', 1.2834536399999976, 0.7138930499999994, 1.7039536899999987]",,,,,,
"[65.0, 'H', -0.4265328100000012, -0.5609527000000014, 0.7000364599999997]","[66.0, 'H', 0.3879860999999991, -0.6374870799999997, -0.6278137900000011]","[91.0, 'O', -1.2223994199999986, -1.2093532200000006, 2.1715953900000002]","[160.0, 'O', -2.061108820000001, 1.522923930000001, -1.0235482100000013]","[162.0, 'H', -1.2819132800000013, 0.9946778499999986, -0.6941265899999998]",,,,,,,,
"[64.0, 'O', 0.4265328100000012, 0.5609527000000014, -0.7000364599999997]","[66.0, 'H', 0.8145189100000003, -0.07653437999999824, -1.327850250000001]","[91.0, 'O', -0.7958666099999974, -0.6484005199999991, 1.4715589300000005]","[92.0, 'H', -1.2294180600000004, -1.4326934999999992, 1.868109699999998]","[93.0, 'H', -0.1963169899999997, -0.35102879999999814, 2.214733840000001]","[162.0, 'H', -0.8553804700000001, 1.55563055, -1.3941630499999995]",,,,,,,
"[64.0, 'O', -0.3879860999999991, 0.6374870799999997, 0.6278137900000011]","[65.0, 'H', -0.8145189100000003, 0.07653437999999824, 1.327850250000001]","[162.0, 'H', -1.6698993800000004, 1.6321649299999983, -0.06631279999999862]",,,,,,,,,,
"[61.0, 'O', 2.0565609999999985, 1.6888863899999969, -0.7425106600000007]","[68.0, 'H', 0.6727905400000012, 0.711634029999999, -0.20798122000000063]","[69.0, 'H', -0.7197073700000018, 0.07451942999999872, -0.6617542599999986]","[142.0, 'O', -2.65176821, 1.1271823499999982, 0.6708884899999994]","[143.0, 'H', -1.9790860800000019, 1.73581961, 1.0643228100000002]",,,,,,,,
"[42.0, 'H', 1.671199269999999, 0.12385525999999913, -2.0342598699999996]","[61.0, 'O', 1.3837704599999974, 0.9772523599999978, -0.53452944]","[62.0, 'H', 1.1101472399999999, 1.921061470000005, -0.36277826999999974]","[63.0, 'H', 2.2543812699999997, 0.9352879399999985, -0.03610374999999877]","[67.0, 'O', -0.6727905400000012, -0.711634029999999, 0.20798122000000063]","[69.0, 'H', -1.392497910000003, -0.6371146000000003, -0.45377303999999796]",,,,,,,
"[67.0, 'O', 0.7197073700000018, -0.07451942999999872, 0.6617542599999986]","[68.0, 'H', 1.392497910000003, 0.6371146000000003, 0.45377303999999796]","[142.0, 'O', -1.9320608399999983, 1.0526629199999995, 1.332642749999998]","[143.0, 'H', -1.25937871, 1.6613001800000013, 1.7260770699999988]",,,,,,,,,
"[58.0, 'O', -2.265048320000002, 0.9517150799999996, -1.0377171100000027]","[59.0, 'H', -2.8073032300000023, 0.8760063000000002, -0.22750363000000107]","[61.0, 'O', 0.7554567999999975, -2.4414817500000012, -1.0308045500000027]","[62.0, 'H', 0.48183358, -1.497672639999994, -0.8590533800000024]","[71.0, 'H', -0.6954183900000004, 0.5067818700000011, -0.4919472500000026]","[72.0, 'H', 0.6667704199999989, 0.682145000000002, 0.282198189999999]","[145.0, 'O', 1.5996954199999998, 1.9834655199999993, 0.9363818399999992]","[157.0, 'O', -2.245724150000001, -1.1256406099999978, 1.6050804299999974]","[158.0, 'H', -1.420609650000003, -0.7931618799999995, 1.174224859999999]","[177.0, 'H', 0.5882994299999993, 1.228543430000002, 2.3978804700000005]",,,
"[5.0, 'H', 1.7657900699999978, 1.8642867400000007, -1.0438579899999993]","[58.0, 'O', -1.5696299300000014, 0.4449332099999985, -0.54576986]","[59.0, 'H', -2.111884840000002, 0.36922442999999916, 0.26444362000000154]","[60.0, 'H', -1.9757724300000028, 1.2250995799999984, -1.0270273599999982]","[62.0, 'H', 1.1772519700000004, -2.004454509999995, -0.3671061299999998]","[70.0, 'O', 0.6954183900000004, -0.5067818700000011, 0.4919472500000026]","[72.0, 'H', 1.3621888099999993, 0.17536313000000092, 0.7741454400000016]","[122.0, 'H', -1.8021109900000027, -0.8679200199999997, -1.8960113599999993]","[158.0, 'H', -0.7251912600000026, -1.2999437500000006, 1.6661721100000015]",,,,
"[5.0, 'H', 0.4036012599999985, 1.6889236099999998, -1.818003430000001]","[62.0, 'H', -0.18493683999999888, -2.179817639999996, -1.1412515700000014]","[70.0, 'O', -0.6667704199999989, -0.682145000000002, -0.282198189999999]","[71.0, 'H', -1.3621888099999993, -0.17536313000000092, -0.7741454400000016]","[145.0, 'O', 0.9329250000000009, 1.3013205199999973, 0.6541836500000002]","[146.0, 'H', 0.6083395499999966, 2.256816299999997, 0.6514991099999996]","[147.0, 'H', 1.912415639999999, 1.2823523899999998, 0.5443496199999984]","[158.0, 'H', -2.087380070000002, -1.4753068800000015, 0.8920266699999999]","[177.0, 'H', -0.07847098999999957, 0.54639843, 2.1156822800000015]",,,,
"[27.0, 'H', 1.1290907699999977, 0.1225029599999985, 2.6923484]","[46.0, 'O', -0.6612354400000022, 0.4722342899999994, 2.6280254399999983]","[47.0, 'H', -0.6947274100000023, 0.21737660999999875, 1.6732378099999998]","[74.0, 'H', 0.9105593299999981, -0.355013679999999, 0.05956967999999918]","[75.0, 'H', -0.5054198599999999, -0.7204414099999994, -0.46839338999999924]","[79.0, 'O', -1.51173541, -1.8712487099999997, -1.3144135200000022]","[101.0, 'H', -2.6680958200000013, -0.99196916, -0.43981581000000247]",,,,,,
"[25.0, 'O', 1.1597004900000023, 0.1836657499999994, 2.6706715900000013]","[26.0, 'H', 1.2713363400000013, -0.5161623000000013, 1.9605697400000004]","[27.0, 'H', 0.21853143999999958, 0.4775166399999975, 2.632778720000001]","[47.0, 'H', -1.6052867400000004, 0.5723902899999977, 1.6136681300000006]","[73.0, 'O', -0.9105593299999981, 0.355013679999999, -0.05956967999999918]","[75.0, 'H', -1.415979189999998, -0.3654277300000004, -0.5279630699999984]","[160.0, 'O', 1.4420940699999996, -1.6021559100000005, 0.6079657199999993]","[161.0, 'H', 0.6645834199999996, -2.225313940000003, 0.7220921400000009]",,,,,
"[47.0, 'H', -0.18930755000000232, 0.9378180199999981, 2.141631199999999]","[73.0, 'O', 0.5054198599999999, 0.7204414099999994, 0.46839338999999924]","[74.0, 'H', 1.415979189999998, 0.3654277300000004, 0.5279630699999984]","[79.0, 'O', -1.00631555, -1.1508073000000003, -0.846020130000003]","[80.0, 'H', -1.356129280000001, -2.0793570000000017, -0.7874389200000032]","[81.0, 'H', -1.0612468499999999, -0.8525457600000017, -1.8010537700000029]","[100.0, 'O', -2.8064701500000027, 0.15651709999999852, 0.6614471799999997]","[101.0, 'H', -2.1626759600000014, -0.2715277500000006, 0.02857757999999677]",,,,,
"[10.0, 'O', 0.09442278999999942, 1.7796916500000002, 2.057713019999998]","[12.0, 'H', 0.032518950000000046, 1.062753139999998, 1.352839379999999]","[77.0, 'H', -0.31997286, -0.9013345600000022, 0.28229177999999777]","[78.0, 'H', -0.7536292000000024, 0.32840996999999916, -0.5620623699999996]","[109.0, 'O', -1.2170090699999996, -2.351106660000003, 0.6488249899999978]","[148.0, 'O', 2.7218885299999975, 0.738660969999998, -0.46958661000000035]","[149.0, 'H', 1.7822789199999995, 0.4539984199999978, -0.3743866199999992]",,,,,,
"[12.0, 'H', 0.35249181000000007, 1.9640877000000003, 1.0705476000000012]","[59.0, 'H', -0.1379362800000017, -1.8048928199999992, -2.0222960999999984]","[76.0, 'O', 0.31997286, 0.9013345600000022, -0.28229177999999777]","[78.0, 'H', -0.4336563400000024, 1.2297445300000014, -0.8443541499999974]","[109.0, 'O', -0.8970362099999996, -1.4497721000000006, 0.36653321000000005]","[110.0, 'H', -0.5481379400000002, -2.3719865700000007, 0.283994100000001]","[111.0, 'H', -1.8802673300000023, -1.4402572799999973, 0.40474168000000077]","[149.0, 'H', 2.1022517799999996, 1.35533298, -0.656678399999997]",,,,,
"[12.0, 'H', 0.7861481500000025, 0.7343431699999989, 1.9149017499999985]","[76.0, 'O', 0.7536292000000024, -0.32840996999999916, 0.5620623699999996]","[77.0, 'H', 0.4336563400000024, -1.2297445300000014, 0.8443541499999974]","[109.0, 'O', -0.46337986999999714, -2.679516630000002, 1.2108873599999974]","[149.0, 'H', 2.535908120000002, 0.12558844999999863, 0.18767575000000036]","[165.0, 'H', -1.2002998299999987, -0.6700189999999999, -2.613349930000002]",,,,,,,
"[31.0, 'O', -1.119155150000001, -2.5373839700000005, -0.09815567999999786]","[73.0, 'O', 1.51173541, 1.8712487099999997, 1.3144135200000022]","[75.0, 'H', 1.00631555, 1.1508073000000003, 0.846020130000003]","[80.0, 'H', -0.34981373000000104, -0.9285497000000014, 0.05858120999999983]","[81.0, 'H', -0.054931299999999794, 0.2982615399999986, -0.9550336399999999]","[100.0, 'O', -1.8001546000000026, 1.3073243999999988, 1.5074673100000027]","[101.0, 'H', -1.1563604100000013, 0.8792795499999997, 0.8745977099999998]","[185.0, 'H', 2.2095004399999993, -1.8887089100000019, 0.06681679000000074]",,,,,
"[31.0, 'O', -0.7693414199999999, -1.6088342699999991, -0.15673688999999769]","[32.0, 'H', -0.8383350000000007, -1.9019037599999997, -1.0954467099999974]","[33.0, 'H', -1.3439709099999995, -2.201917980000001, 0.3624679300000011]","[75.0, 'H', 1.356129280000001, 2.0793570000000017, 0.7874389200000032]","[79.0, 'O', 0.34981373000000104, 0.9285497000000014, -0.05858120999999983]","[81.0, 'H', 0.29488243000000125, 1.22681124, -1.0136148499999997]","[101.0, 'H', -0.8065466800000003, 1.807829250000001, 0.8160164999999999]","[185.0, 'H', 2.5593141700000004, -0.9601592100000005, 0.008235580000000908]",,,,,
"[75.0, 'H', 1.0612468499999999, 0.8525457600000017, 1.8010537700000029]","[79.0, 'O', 0.054931299999999794, -0.2982615399999986, 0.9550336399999999]","[80.0, 'H', -0.29488243000000125, -1.22681124, 1.0136148499999997]","[101.0, 'H', -1.1014291100000015, 0.5810180100000011, 1.8296313499999997]",,,,,,,,,
"[83.0, 'H', -0.3623117399999991, 0.9215035199999981, 0.04963638000000259]","[84.0, 'H', 0.6627957699999989, -0.080868210000002, 0.7093505800000024]",,,,,,,,,,,
"[82.0, 'O', 0.3623117399999991, -0.9215035199999981, -0.04963638000000259]","[84.0, 'H', 1.025107509999998, -1.0023717300000001, 0.6597141999999998]",,,,,,,,,,,
"[1.0, 'O', 1.3183827100000016, 1.6897071100000005, 1.5492828799999998]","[2.0, 'H', 1.805065680000002, 0.8636498800000005, 1.2395698599999996]","[3.0, 'H', 1.2606893800000023, 2.305354959999999, 0.7986734399999982]","[82.0, 'O', -0.6627957699999989, 0.080868210000002, -0.7093505800000024]","[83.0, 'H', -1.025107509999998, 1.0023717300000001, -0.6597141999999998]","[100.0, 'O', 2.3303958700000003, -0.6676148099999999, 0.9904122700000002]","[102.0, 'H', 1.8084514800000022, -1.4307243499999984, 1.3408216499999988]",,,,,,
"[86.0, 'H', -0.861214669999999, 0.08173878999999928, -0.49251464999999683]","[87.0, 'H', 0.5530482899999996, 0.7711973800000003, -0.2276846699999986]",,,,,,,,,,,
"[85.0, 'O', 0.861214669999999, -0.08173878999999928, 0.49251464999999683]","[87.0, 'H', 1.4142629599999985, 0.689458590000001, 0.26482997999999824]","[116.0, 'H', -1.9272077100000011, 1.2712068800000011, -1.29588897]","[171.0, 'H', 0.42944604999999925, 1.3777071999999997, -2.573242590000003]",,,,,,,,,
"[85.0, 'O', -0.5530482899999996, -0.7711973800000003, 0.2276846699999986]","[86.0, 'H', -1.4142629599999985, -0.689458590000001, -0.26482997999999824]",,,,,,,,,,,
"[4.0, 'O', -1.223375909999998, 2.3513230499999977, 0.28737861999999836]","[6.0, 'H', -0.7780097799999979, 1.4519044, 0.2900808700000006]","[43.0, 'O', 2.2567732000000014, -1.1185230300000022, -1.4928804299999996]","[44.0, 'H', 1.8121183100000025, -1.9863938099999991, -1.2309944300000026]","[89.0, 'H', 0.9191131800000001, -0.04657118000000082, -0.34312734000000233]","[90.0, 'H', -0.4801472899999979, -0.47889756000000006, -0.7026510800000025]","[185.0, 'H', -0.8007403099999983, 2.1641581899999984, -1.9051709000000017]","[186.0, 'H', -0.3680983999999974, 0.9142689199999978, -2.7624376500000025]",,,,,
"[6.0, 'H', -1.697122959999998, 1.498475580000001, 0.6332082100000029]","[43.0, 'O', 1.3376600200000013, -1.0719518500000014, -1.1497530899999973]","[44.0, 'H', 0.8930051300000024, -1.9398226299999983, -0.8878670900000003]","[45.0, 'H', 1.2075395700000016, -0.9559638799999988, -2.106837409999997]","[88.0, 'O', -0.9191131800000001, 0.04657118000000082, 0.34312734000000233]","[90.0, 'H', -1.399260469999998, -0.43232637999999923, -0.3595237400000002]","[186.0, 'H', -1.2872115799999975, 0.9608400999999986, -2.41931031]",,,,,,
"[6.0, 'H', -0.29786249, 1.9308019600000002, 0.9927319500000031]","[43.0, 'O', 2.7369204899999993, -0.6396254700000021, -0.790229349999997]","[44.0, 'H', 2.2922656000000003, -1.507496249999999, -0.5283433500000001]","[88.0, 'O', 0.4801472899999979, 0.47889756000000006, 0.7026510800000025]","[89.0, 'H', 1.399260469999998, 0.43232637999999923, 0.3595237400000002]","[185.0, 'H', -0.32059302000000045, 2.6430557499999985, -1.2025198199999991]","[186.0, 'H', 0.11204889000000051, 1.3931664799999979, -2.05978657]",,,,,,
"[64.0, 'O', 1.2223994199999986, 1.2093532200000006, -2.1715953900000002]","[65.0, 'H', 0.7958666099999974, 0.6484005199999991, -1.4715589300000005]","[92.0, 'H', -0.43355145000000306, -0.78429298, 0.3965507699999975]","[93.0, 'H', 0.5995496199999977, 0.297371720000001, 0.7431749100000005]","[136.0, 'O', 1.6996848599999979, 0.7469161600000014, 1.970234399999999]","[145.0, 'O', -2.73131038, 0.8419547499999993, 0.45893455999999944]","[147.0, 'H', -1.751819740000002, 0.8229866200000018, 0.34910052999999763]","[172.0, 'O', -1.3226674299999992, -1.61272971, 1.9745151099999987]",,,,,
"[65.0, 'H', 1.2294180600000004, 1.4326934999999992, -1.868109699999998]","[91.0, 'O', 0.43355145000000306, 0.78429298, -0.3965507699999975]","[93.0, 'H', 1.0331010700000007, 1.081664700000001, 0.34662414000000297]","[115.0, 'O', -0.7923671899999967, -2.69837081, -0.49050420999999744]","[117.0, 'H', -0.9879330999999993, -2.126770910000001, 0.29757678]","[145.0, 'O', -2.297758929999997, 1.6262477299999993, 0.06238379000000194]","[147.0, 'H', -1.318268289999999, 1.6072796000000018, -0.047450239999999866]","[170.0, 'H', 1.0443400200000035, -2.276131979999999, -0.8138170199999983]","[172.0, 'O', -0.8891159799999961, -0.82843673, 1.5779643400000012]","[173.0, 'H', -0.42587829, -1.1589838700000001, 2.3830786700000033]","[174.0, 'H', -1.7430503199999983, -0.4574072799999982, 1.9131827300000026]",,
"[65.0, 'H', 0.1963169899999997, 0.35102879999999814, -2.214733840000001]","[91.0, 'O', -0.5995496199999977, -0.297371720000001, -0.7431749100000005]","[92.0, 'H', -1.0331010700000007, -1.081664700000001, -0.34662414000000297]","[136.0, 'O', 1.1001352400000002, 0.4495444400000004, 1.2270594899999985]","[137.0, 'H', 0.9193169000000019, 0.22115317999999817, 2.1872682999999995]","[138.0, 'H', 1.1951029599999998, 1.4283045600000008, 1.2423093299999977]","[147.0, 'H', -2.3513693599999996, 0.5256149000000008, -0.39407438000000283]","[172.0, 'O', -1.9222170499999969, -1.910101430000001, 1.2313401999999982]",,,,,
"[24.0, 'H', -0.8317543600000015, -1.993306350000001, -0.16730895999999973]","[95.0, 'H', 0.9688029900000004, 0.21113576000000123, 0.11905635000000103]","[96.0, 'H', -0.4518558000000006, 0.6581539999999997, 0.5815289899999989]","[136.0, 'O', 0.10900549999999853, 0.5698204500000017, -2.632426540000001]","[137.0, 'H', -0.07181283999999977, 0.3414291899999995, -1.6722177299999998]",,,,,,,,
"[24.0, 'H', -1.8005573500000018, -2.2044421100000022, -0.28636531000000076]","[94.0, 'O', -0.9688029900000004, -0.21113576000000123, -0.11905635000000103]","[96.0, 'H', -1.420658790000001, 0.44701823999999846, 0.4624726399999979]","[136.0, 'O', -0.8597974900000018, 0.3586846900000005, -2.751482890000002]","[137.0, 'H', -1.0406158300000001, 0.13029342999999827, -1.7912740800000009]",,,,,,,,
"[24.0, 'H', -0.3798985600000009, -2.6514603500000007, -0.7488379499999986]","[94.0, 'O', 0.4518558000000006, -0.6581539999999997, -0.5815289899999989]","[95.0, 'H', 1.420658790000001, -0.44701823999999846, -0.4624726399999979]","[137.0, 'H', 0.3800429600000008, -0.3167248100000002, -2.2537467199999988]",,,,,,,,,
"[44.0, 'H', -2.0512877599999975, 1.6859168200000028, 1.3014678899999979]","[98.0, 'H', -0.5899019299999999, 0.39494307000000006, 0.6681058600000007]","[99.0, 'H', -0.567527479999999, -0.15603462999999707, -0.8330278200000016]",,,,,,,,,,
"[28.0, 'O', -1.8586396799999996, -0.1994808500000005, 1.1121278500000003]","[29.0, 'H', -1.471877039999999, -0.6210470099999981, 1.9232946899999988]","[43.0, 'O', -1.0167309399999986, 2.1588445299999997, 0.3714760300000002]","[44.0, 'H', -1.4613858299999976, 1.2909737500000027, 0.6333620299999971]","[45.0, 'H', -1.1468513899999984, 2.2748325000000023, -0.5856082899999997]","[97.0, 'O', 0.5899019299999999, -0.39494307000000006, -0.6681058600000007]","[99.0, 'H', 0.022374450000000934, -0.5509776999999971, -1.5011336800000024]",,,,,,
"[97.0, 'O', 0.567527479999999, 0.15603462999999707, 0.8330278200000016]","[98.0, 'H', -0.022374450000000934, 0.5509776999999971, 1.5011336800000024]",,,,,,,,,,,
"[1.0, 'O', -1.0120131599999986, 2.3573219200000004, 0.5588706099999996]","[2.0, 'H', -0.5253301899999983, 1.5312646900000004, 0.24915758999999937]","[75.0, 'H', 2.8064701500000027, -0.15651709999999852, -0.6614471799999997]","[79.0, 'O', 1.8001546000000026, -1.3073243999999988, -1.5074673100000027]","[84.0, 'H', -2.3303958700000003, 0.6676148099999999, -0.9904122700000002]","[101.0, 'H', 0.6437941900000013, -0.42804484999999914, -0.6328696000000029]","[102.0, 'H', -0.521944389999998, -0.7631095399999985, 0.35040937999999855]","[163.0, 'O', -1.487834539999998, -2.3382565500000005, 0.8513446699999996]",,,,,
"[2.0, 'H', -1.1691243799999995, 1.9593095399999996, 0.8820271900000023]","[73.0, 'O', 2.6680958200000013, 0.99196916, 0.43981581000000247]","[75.0, 'H', 2.1626759600000014, 0.2715277500000006, -0.02857757999999677]","[79.0, 'O', 1.1563604100000013, -0.8792795499999997, -0.8745977099999998]","[80.0, 'H', 0.8065466800000003, -1.807829250000001, -0.8160164999999999]","[81.0, 'H', 1.1014291100000015, -0.5810180100000011, -1.8296313499999997]","[100.0, 'O', -0.6437941900000013, 0.42804484999999914, 0.6328696000000029]","[102.0, 'H', -1.1657385799999993, -0.3350646899999994, 0.9832789800000015]",,,,,
"[2.0, 'H', -0.0033858000000002164, 2.294374229999999, -0.10125178999999918]","[84.0, 'H', -1.8084514800000022, 1.4307243499999984, -1.3408216499999988]","[100.0, 'O', 0.521944389999998, 0.7631095399999985, -0.35040937999999855]","[101.0, 'H', 1.1657385799999993, 0.3350646899999994, -0.9832789800000015]","[163.0, 'O', -0.9658901499999999, -1.575147010000002, 0.500935290000001]","[164.0, 'H', -1.4907019000000012, -2.021641340000002, -0.2210581100000013]","[165.0, 'H', -1.6091317200000006, -1.2632990100000008, 1.1788569399999993]",,,,,,
"[37.0, 'O', 0.38380731999999895, 1.31567888, 2.4388050800000016]","[38.0, 'H', 0.2558101100000023, 0.8678193299999997, 1.5553064799999987]","[104.0, 'H', -0.5072819200000005, -0.7384098899999998, 0.43361519000000115]","[105.0, 'H', -0.7041948299999987, 0.5965373899999982, -0.3613450599999979]","[124.0, 'O', 2.728992350000002, 0.19350153999999975, -0.4726696699999984]","[126.0, 'H', 1.7397963500000024, 0.14962239999999838, -0.3571234999999966]","[178.0, 'O', -1.6900787299999998, -1.6004909100000013, 1.4985092500000015]","[181.0, 'O', -1.69274536, 2.16526425, -0.3807365499999982]",,,,,
"[38.0, 'H', 0.7630920300000028, 1.6062292199999995, 1.1216912899999976]","[103.0, 'O', 0.5072819200000005, 0.7384098899999998, -0.43361519000000115]","[105.0, 'H', -0.19691290999999822, 1.334947279999998, -0.794960249999999]","[126.0, 'H', 2.247078270000003, 0.8880322899999982, -0.7907386899999977]","[176.0, 'H', -1.8519124799999993, -2.1936490100000015, 0.22795549000000292]","[178.0, 'O', -1.1827968099999993, -0.8620810200000015, 1.0648940600000003]","[179.0, 'H', -1.8240027799999972, -0.11876677000000058, 1.2528245700000014]","[180.0, 'H', -0.8749248299999977, -1.2034048800000008, 1.9462326700000006]",,,,,
"[38.0, 'H', 0.960004940000001, 0.2712819400000015, 1.9166515399999966]","[50.0, 'H', 1.0527838799999998, 1.7747735700000007, -2.0830425000000012]","[51.0, 'H', 0.2139418699999993, 2.2349046500000007, -0.84006063]","[103.0, 'O', 0.7041948299999987, -0.5965373899999982, 0.3613450599999979]","[104.0, 'H', 0.19691290999999822, -1.334947279999998, 0.794960249999999]","[126.0, 'H', 2.443991180000001, -0.4469149899999998, 0.00422156000000129]","[148.0, 'O', -2.125304670000002, -0.7977884700000004, -1.8005730900000003]","[179.0, 'H', -1.627089869999999, -1.4537140499999985, 2.0477848200000004]","[181.0, 'O', -0.9885505300000013, 1.5687268600000017, -0.01939149000000029]","[182.0, 'H', -1.0713319500000011, 1.8890844000000016, 0.9214222499999991]","[183.0, 'H', -1.8952273800000015, 1.6985858799999995, -0.398707439999999]",,
"[14.0, 'H', -0.4675408100000027, 2.307432910000003, 1.7416183099999998]","[107.0, 'H', 0.05880870000000016, -0.9029481899999965, -0.4362166199999997]","[108.0, 'H', -0.39156294, -0.14713273999999998, 0.8748785599999991]","[157.0, 'O', -0.9317907000000005, 1.5895112800000035, -1.9751243600000024]","[159.0, 'H', -0.600898560000001, 1.071107340000001, -1.18170924]",,,,,,,,
"[106.0, 'O', -0.05880870000000016, 0.9029481899999965, 0.4362166199999997]","[108.0, 'H', -0.4503716400000002, 0.7558154499999965, 1.3110951799999988]","[159.0, 'H', -0.6597072600000011, 1.9740555299999976, -0.7454926200000003]",,,,,,,,,,
"[14.0, 'H', -0.07597787000000267, 2.454565650000003, 0.8667397500000007]","[106.0, 'O', 0.39156294, 0.14713273999999998, -0.8748785599999991]","[107.0, 'H', 0.4503716400000002, -0.7558154499999965, -1.3110951799999988]","[129.0, 'H', -2.6977952700000003, -0.008119499999999391, 0.2725504100000009]","[159.0, 'H', -0.20933562000000094, 1.218240080000001, -2.056587799999999]",,,,,,,,
